No;NombreProyecto;NombreEstacionPeaje;Departamento;Municipio;TAR_PLENA_I;TAR_PLENA_II;TAR_PLENA_III;TAR_PLENA_IV;TAR_PLENA_V;TAR_PLENA_VI;TAR_PLENA_VII;TAR_PLENA_E.A.;TAR_PLENA_E.G.;TAR_PLENA_E.R.;TAR_PLENA_E.C.;TAR_ESPECIAL_I;TAR_ESPECIAL_II;TAR_ESPECIAL_III;TAR_ESPECIAL_IV;TAR_ESPECIAL_V;TAR_ESPECIAL_VI;TAR_ESPECIAL_VII;TAR_ESPECIAL_VIII;TAR_ESPECIAL_IX;TAR_ESPECIAL_IE-10;TAR_ESPECIAL_IEE;TAR_ESPECIAL_IEEE;TAR_ESPECIAL_IIA;TAR_ESPECIAL_E.A.;TAR_ESPECIAL_E.G.;TAR_ESPECIAL_E.R.;TAR_ESPECIAL_E.C.;FechaUltimoCambiodeTarifa
65;GIRARDOT - HONDA - PUERTO SALGAR;CAMBAO;CUNDINAMARCA;SAN JUAN DE RIOSECO;$ 9,90;$ 14,00;$ 19,20;$ 25,70;$ 36,40;$ 59,00;$ 67,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
66;GIRARDOT - HONDA - PUERTO SALGAR;GUATAQUÍ;CUNDINAMARCA;GUATAQUÍ;$ 9,90;$ 14,00;$ 19,20;$ 25,70;$ 36,40;$ 59,00;$ 67,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-21T00:00:00.000
67;IP - ACCESOS NORTE;ANDES;CUNDINAMARCA;CHÍA;$ 8,70;$ 15,00;$ 9,60;$ 21,80;$ 33,10;$ 42,70;$ 47,30;$    -;$    -;$    -;$    -;$    -;$ 14,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
68;IP - ACCESOS NORTE;FUSCA;CUNDINAMARCA;CHÍA;$ 8,70;$ 15,00;$ 9,60;$ 21,80;$ 33,10;$ 42,70;$ 47,30;$    -;$    -;$    -;$    -;$    -;$ 14,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
69;IP - ACCESOS NORTE;UNISABANA;CUNDINAMARCA;CHÍA;$    -;$    -;$    -;$    -;$ 33,10;$ 42,70;$ 47,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
70;IP - ANTIOQUIA BOLIVAR;CAIMANERA;SUCRE;SANTIAGO DE TOLÚ;$ 12,30;$ 18,20;$ 18,20;$ 18,20;$ 19,50;$ 28,30;$ 28,40;$    -;$    -;$    -;$    -;$ 700;$ 700;$ 700;$ 700;$ 700;$ 700;$ 700;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
71;IP - ANTIOQUIA BOLIVAR;CEDROS;CÓRDOBA;MONTERÍA;$ 12,60;$ 18,60;$ 18,60;$ 18,60;$ 33,60;$ 53,60;$ 61,80;$    -;$    -;$    -;$    -;$ 11,30;$ 15,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
72;IP - ANTIOQUIA BOLIVAR;LA APARTADA;CÓRDOBA;LA APARTADA;$ 12,60;$ 18,60;$ 18,60;$ 18,60;$ 33,60;$ 53,60;$ 61,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
73;IP - ANTIOQUIA BOLIVAR;MANGUITOS;CÓRDOBA;PLANETA RICA;$ 12,60;$ 18,60;$ 18,60;$ 18,60;$ 33,60;$ 53,60;$ 61,80;$    -;$    -;$    -;$    -;$ 6,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
74;IP - ANTIOQUIA BOLIVAR;MATA DE CAÑA;CÓRDOBA;LORICA;$ 12,30;$ 18,20;$ 18,20;$ 18,20;$ 19,50;$ 28,30;$ 28,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
75;IP - ANTIOQUIA BOLIVAR;PURGATORIO;CÓRDOBA;MONTERÍA;$ 12,60;$ 18,60;$ 18,60;$ 18,60;$ 33,60;$ 53,60;$ 61,80;$    -;$    -;$    -;$    -;$ 11,30;$ 15,70;$ 9,40;$ 9,40;$    -;$    -;$    -;$    -;$ 200;$    -;$ 6,40;$ 200;$ 9,40;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
76;IP - ANTIOQUIA BOLIVAR;SAN CARLOS;CÓRDOBA;SAN CARLOS;$ 12,30;$ 18,20;$ 18,20;$ 18,20;$ 19,50;$ 28,30;$ 28,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
77;IP - ANTIOQUIA BOLIVAR;SAN ONOFRE;SUCRE;SAN ONOFRE;$ 12,60;$ 18,60;$ 18,60;$ 18,60;$ 33,60;$ 53,60;$ 61,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
78;IP - CAMBAO-MANIZALES;ALVARADO;TOLIMA;ALVARADO;$ 10,70;$ 11,40;$ 11,90;$ 12,40;$ 26,50;$ 36,20;$ 39,20;$    -;$    -;$    -;$    -;$ 7,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
79;IP - CAMBAO-MANIZALES;HONDA;TOLIMA;HONDA;$ 10,70;$ 11,40;$ 11,90;$ 12,40;$ 26,50;$ 36,20;$ 39,20;$    -;$    -;$    -;$    -;$ 5,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
80;IP - MALLA VIAL DEL META;CASETABLA;META;PUERTO LÓPEZ;$ 4,40;$ 4,80;$ 4,80;$ 4,80;$ 19,70;$ 25,00;$ 28,10;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
81;IP - MALLA VIAL DEL META;IRACÁ;META;GRANADA;$ 9,70;$ 19,40;$ 13,30;$ 23,30;$ 34,60;$ 46,00;$ 50,00;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
82;IP - MALLA VIAL DEL META;LA LIBERTAD;META;VILLAVICENCIO;$ 12,70;$ 25,30;$ 18,30;$ 30,50;$ 45,40;$ 59,80;$ 68,50;$    -;$    -;$    -;$    -;$ 6,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
83;IP - MALLA VIAL DEL META;OCOA;META;ACACÍAS;$ 9,70;$ 19,40;$ 13,30;$ 23,30;$ 34,60;$ 46,00;$ 50,00;$    -;$    -;$    -;$    -;$ 3,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
84;IP - MALLA VIAL DEL META;YUCAO;META;PUERTO GAITÁN;$ 4,40;$ 4,80;$ 4,80;$ 4,80;$ 19,70;$ 25,00;$ 28,10;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
85;IP - NEIVA GIRARDOT;EL PATÁ;HUILA;AIPE;$ 11,70;$ 14,10;$ 15,80;$ 20,20;$ 34,40;$ 44,20;$ 50,10;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
86;IP - NEIVA GIRARDOT;FLANDES;TOLIMA;ESPINAL;$ 11,70;$ 13,90;$ 15,60;$ 19,90;$ 33,30;$ 42,70;$ 48,60;$    -;$    -;$    -;$    -;$ 7,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
87;IP - NEIVA GIRARDOT;NEIVA;HUILA;NEIVA;$ 11,70;$ 13,90;$ 15,60;$ 19,90;$ 33,30;$ 42,70;$ 48,60;$    -;$    -;$    -;$    -;$ 5,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
88;IP - TERCER CARRIL;CHINAUTA;CUNDINAMARCA;FUSAGASUGÁ;$ 10,30;$ 11,60;$ 24,80;$ 40,30;$ 46,30;$    -;$    -;$ 9,70;$ 6,40;$ 9,40;$    -;$ 2,60;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
89;IP - TERCER CARRIL;CHUSACA;CUNDINAMARCA;GRANADA;$ 10,30;$ 11,60;$ 24,80;$ 40,30;$ 46,30;$    -;$    -;$ 9,70;$ 6,40;$ 9,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
90;IP - VÍA DEL NUS;CISNEROS;ANTIOQUIA;CISNEROS;$ 8,30;$ 8,90;$ 8,90;$ 8,90;$ 18,80;$ 23,90;$ 27,00;$ 8,70;$ 6,40;$ 8,40;$    -;$ 1,70;$ 1,90;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
91;PERIMETRAL DE ORIENTE DE CUNDINAMARCA;LA CABAÑA;CUNDINAMARCA;SOPÓ;$ 9,60;$ 15,10;$ 23,40;$ 34,30;$ 46,90;$ 47,30;$    -;$ 8,70;$ 6,40;$ 8,40;$ 6,70;$    -;$ 10,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
92;PERIMETRAL DE ORIENTE DE CUNDINAMARCA;PATIOS;CUNDINAMARCA;LA CALERA;$ 9,60;$ 15,10;$ 23,40;$ 34,30;$ 46,90;$ 47,30;$    -;$ 8,70;$ 6,40;$ 8,40;$ 6,70;$ 5,10;$ 10,30;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$ 5,40;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
93;PUERTA DE HIERRO - CRUZ DEL VISO;CALAMAR;BOLÍVAR;CALAMAR;$ 8,30;$ 9,00;$ 19,20;$ 24,40;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 2,80;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
94;PUERTA DE HIERRO - CRUZ DEL VISO;EL CARMEN;BOLÍVAR;EL CARMEN DE BOLÍVAR;$ 8,80;$ 9,60;$ 20,10;$ 25,60;$ 28,80;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 1,40;$ 1,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
95;RUMICHACA - PASTO;EL PLACER;NARIÑO;TANGUA;$ 9,90;$ 10,40;$ 22,10;$ 28,80;$ 33,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
96;SANTANA-MOCOA-NEIVA;ALTAMIRA;HUILA;ALTAMIRA;$ 8,50;$ 9,30;$ 19,50;$ 24,80;$ 27,90;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$ 6,70;$ 2,50;$ 5,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
97;SANTANA-MOCOA-NEIVA;LOS CAUCHOS;HUILA;RIVERA;$ 8,30;$ 9,00;$ 19,20;$ 24,40;$ 27,40;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$ 6,70;$ 5,30;$ 2,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
98;TRANSVERSAL DEL SISGA;MACHETÁ;CUNDINAMARCA;MACHETÁ;$ 8,50;$ 9,20;$ 19,50;$ 24,70;$ 27,70;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 3,90;$ 4,20;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
99;VILLAVICENCIO-YOPAL;PUENTE AMARILLO;META;VILLAVICENCIO;$ 3,60;$ 12,50;$ 7,90;$ 12,50;$ 17,70;$ 23,70;$ 26,90;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
100;VILLAVICENCIO-YOPAL;SAN PEDRO;CASANARE;VILLANUEVA;$ 8,40;$ 9,10;$ 19,40;$ 24,70;$ 27,60;$    -;$    -;$ 8,70;$ 6,40;$ 8,40;$    -;$ 2,40;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000
101;VILLAVICENCIO-YOPAL;VERACRUZ;META;CUMARAL;$ 6,70;$ 13,50;$ 8,70;$ 13,50;$ 19,40;$ 26,00;$ 29,10;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;$    -;2019-01-16T00:00:00.000

